,mmsi,lon,lat,DateTime
195,672891000,10.2697816666667,37.1613416666667,2022-04-07 00:36:41
197,672891000,10.2613666666667,37.1604483333333,2022-04-07 01:47:30
200,672891000,10.262265,37.15967,2022-04-07 02:57:30
205,672891000,10.2630816666667,37.158975,2022-04-07 04:04:10
208,672891000,10.2639233333333,37.159245,2022-04-07 04:30:00
212,672891000,10.2640716666667,37.1590366666667,2022-04-07 05:25:21
216,672891000,10.2709733333333,37.1571483333333,2022-04-07 07:00:10
218,672891000,10.2721716666667,37.156745,2022-04-07 07:47:20
220,672891000,10.2726783333333,37.156125,2022-04-07 08:35:20
224,672891000,10.266245,37.1631,2022-04-07 10:01:11
227,672891000,10.2693516666667,37.1612783333333,2022-04-07 00:36:51
228,672891000,10.2697683333333,37.157865,2022-04-07 01:23:39
230,672891000,10.2622633333333,37.1598133333333,2022-04-07 02:11:11
231,672891000,10.2622683333333,37.1597216666667,2022-04-07 02:34:49
239,672891000,10.26388,37.1589833333333,2022-04-07 04:21:10
246,672891000,10.2704783333333,37.1574716666667,2022-04-07 06:12:10
247,672891000,10.270945,37.1577233333333,2022-04-07 06:35:50
249,672891000,10.2710116666667,37.1568616666667,2022-04-07 07:23:50
251,672891000,10.2724416666667,37.156535,2022-04-07 08:11:00
253,672891000,10.2740566666667,37.15534,2022-04-07 09:00:10
254,672891000,10.2755233333333,37.15548,2022-04-07 09:21:39
255,672891000,10.2784983333333,37.1539883333333,2022-04-07 09:38:40
259,672891000,10.2685383333333,37.1611483333333,2022-04-07 00:37:09
261,672891000,10.261395,37.1604333333333,2022-04-07 01:47:40
266,672891000,10.2622466666667,37.159615,2022-04-07 03:28:10
276,672891000,10.26407,37.1590566666667,2022-04-07 05:25:30
277,672891000,10.268725,37.15766,2022-04-07 05:48:49
282,672891000,10.2721716666667,37.1567333333333,2022-04-07 07:47:30
284,672891000,10.2726916666667,37.1561366666667,2022-04-07 08:35:31
288,672891000,10.26611,37.16316,2022-04-07 10:01:22
289,672891000,10.2697933333333,37.1632833333333,2022-04-07 10:23:50
291,672891000,10.2677183333333,37.1610316666667,2022-04-07 00:37:29
294,672891000,10.2622666666667,37.159805,2022-04-07 02:11:19
295,672891000,10.2622716666667,37.1597216666667,2022-04-07 02:35:00
297,672891000,10.2622783333333,37.1597516666667,2022-04-07 03:12:10
300,672891000,10.2622883333333,37.15936,2022-04-07 03:54:50
307,672891000,10.2640716666667,37.1591716666667,2022-04-07 05:04:30
312,672891000,10.2709683333333,37.1571416666667,2022-04-07 07:00:30
313,672891000,10.2710266666667,37.1568316666667,2022-04-07 07:24:00
315,672891000,10.272445,37.1565233333333,2022-04-07 08:11:10
317,672891000,10.2740833333333,37.1553416666667,2022-04-07 09:00:20
322,672891000,10.2718916666667,37.1625366666667,2022-04-07 10:47:40
323,672891000,10.2672083333333,37.16095,2022-04-07 00:37:41
324,672891000,10.2686466666667,37.1579483333333,2022-04-07 01:24:09
325,672891000,10.2614333333333,37.160405,2022-04-07 01:47:51
331,672891000,10.262295,37.1597716666667,2022-04-07 03:40:10
335,672891000,10.2638783333333,37.15897,2022-04-07 04:21:21
338,672891000,10.2639783333333,37.1591433333333,2022-04-07 04:47:31
340,672891000,10.2640666666667,37.1590766666667,2022-04-07 05:25:40
341,672891000,10.268755,37.1576366666667,2022-04-07 05:49:00
342,672891000,10.2704916666667,37.1574383333333,2022-04-07 06:12:30
343,672891000,10.2709583333333,37.157695,2022-04-07 06:36:10
346,672891000,10.2721783333333,37.15673,2022-04-07 07:47:39
348,672891000,10.2727033333333,37.1561433333333,2022-04-07 08:35:39
350,672891000,10.2755333333333,37.15546,2022-04-07 09:21:50
351,672891000,10.2785383333333,37.1539983333333,2022-04-07 09:38:50
352,672891000,10.266005,37.1632183333333,2022-04-07 10:01:30
355,672891000,10.26678,37.1608816666667,2022-04-07 00:37:51
358,672891000,10.2622716666667,37.1598016666667,2022-04-07 02:11:29
359,672891000,10.26227,37.1597183333333,2022-04-07 02:35:12
365,672891000,10.26312,37.1589583333333,2022-04-07 04:04:21
376,672891000,10.27097,37.15713,2022-04-07 07:00:41
377,672891000,10.2710383333333,37.1568083333333,2022-04-07 07:24:11
379,672891000,10.2724433333333,37.156505,2022-04-07 08:11:19
381,672891000,10.274105,37.15535,2022-04-07 09:00:31
385,672891000,10.2698233333333,37.1632766666667,2022-04-07 10:24:02
386,672891000,10.2719116666667,37.1625633333333,2022-04-07 10:47:50
387,672891000,10.266345,37.1608133333333,2022-04-07 00:38:01
389,672891000,10.26146,37.1603933333333,2022-04-07 01:48:00
392,672891000,10.2622616666667,37.1596966666667,2022-04-07 02:57:51
393,672891000,10.2622783333333,37.1597466666667,2022-04-07 03:12:20
401,672891000,10.2639066666667,37.1589383333333,2022-04-07 04:36:50
403,672891000,10.2640683333333,37.1591383333333,2022-04-07 05:04:49
404,672891000,10.26407,37.15909,2022-04-07 05:25:51
405,672891000,10.2687816666667,37.15762,2022-04-07 05:49:10
410,672891000,10.272175,37.1567233333333,2022-04-07 07:47:50
412,672891000,10.2727266666667,37.1561533333333,2022-04-07 08:35:51
414,672891000,10.27555,37.1554416666667,2022-04-07 09:22:00
416,672891000,10.2658733333333,37.1632966666667,2022-04-07 10:01:40
418,672891000,10.2719166666667,37.162575,2022-04-07 10:48:00
419,672891000,10.2659516666667,37.1607516666667,2022-04-07 00:38:09
420,672891000,10.2678916666667,37.1580283333333,2022-04-07 01:24:29
422,672891000,10.262265,37.159795,2022-04-07 02:11:41
423,672891000,10.2622766666667,37.159715,2022-04-07 02:35:20
428,672891000,10.2622883333333,37.1593616666667,2022-04-07 03:54:59
432,672891000,10.26392,37.159245,2022-04-07 04:30:11
438,672891000,10.2705,37.1574083333333,2022-04-07 06:12:50
439,672891000,10.2709733333333,37.1576633333333,2022-04-07 06:36:30
440,672891000,10.2709683333333,37.1571216666667,2022-04-07 07:00:52
441,672891000,10.2710533333333,37.1567833333333,2022-04-07 07:24:21
443,672891000,10.27244,37.1564833333333,2022-04-07 08:11:30
447,672891000,10.2786066666667,37.1540166666667,2022-04-07 09:39:09
451,672891000,10.2655183333333,37.1606783333333,2022-04-07 00:38:21
453,672891000,10.2614916666667,37.16038,2022-04-07 01:48:10
468,672891000,10.2640766666667,37.1591083333333,2022-04-07 05:26:01
469,672891000,10.268805,37.1575983333333,2022-04-07 05:49:21
474,672891000,10.272175,37.1567083333333,2022-04-07 07:48:00
476,672891000,10.2727466666667,37.1561666666667,2022-04-07 08:36:00
477,672891000,10.27412,37.1553566666667,2022-04-07 09:00:42
480,672891000,10.26573,37.1633916666667,2022-04-07 10:01:50
481,672891000,10.2698433333333,37.1632733333333,2022-04-07 10:24:09
482,672891000,10.27193,37.1625883333333,2022-04-07 10:48:11
483,672891000,10.2651666666667,37.1606233333333,2022-04-07 00:38:30
485,672891000,10.2615366666667,37.160365,2022-04-07 01:48:19
486,672891000,10.2622583333333,37.1597833333333,2022-04-07 02:11:49
487,672891000,10.2622733333333,37.1597066666667,2022-04-07 02:35:29
489,672891000,10.2622783333333,37.1597483333333,2022-04-07 03:12:31
502,672891000,10.2705016666667,37.1573933333333,2022-04-07 06:12:59
504,672891000,10.270965,37.15712,2022-04-07 07:01:01
505,672891000,10.271065,37.1567633333333,2022-04-07 07:24:29
507,672891000,10.2724333333333,37.1564616666667,2022-04-07 08:11:41
510,672891000,10.2755566666667,37.1554216666667,2022-04-07 09:22:10
511,672891000,10.2786683333333,37.1539966666667,2022-04-07 09:39:19
515,672891000,10.2647783333333,37.1605533333333,2022-04-07 00:38:40
516,672891000,10.2670766666667,37.15813,2022-04-07 01:24:51
525,672891000,10.2631583333333,37.1589416666667,2022-04-07 04:04:30
530,672891000,10.2639766666667,37.15914,2022-04-07 04:47:52
531,672891000,10.26406,37.1591116666667,2022-04-07 05:05:09
532,672891000,10.2640833333333,37.159125,2022-04-07 05:26:11
533,672891000,10.2688216666667,37.15758,2022-04-07 05:49:31
535,672891000,10.2709883333333,37.157625,2022-04-07 06:36:49
538,672891000,10.2721816666667,37.156695,2022-04-07 07:48:10
540,672891000,10.2727633333333,37.1561766666667,2022-04-07 08:36:11
541,672891000,10.2741333333333,37.15537,2022-04-07 09:00:50
544,672891000,10.265595,37.1635033333333,2022-04-07 10:02:01
546,672891000,10.2719316666667,37.162605,2022-04-07 10:48:21
547,672891000,10.2645133333333,37.1605033333333,2022-04-07 00:38:51
549,672891000,10.26158,37.1603483333333,2022-04-07 01:48:30
550,672891000,10.2622516666667,37.1597716666667,2022-04-07 02:12:00
